,InterZone,All people,Area (hectares),simd1_pop,simd2_pop,simd3_pop,simd4_pop,simd5_pop,simdMostPop,simd1_percent,simd2_percent,simd3_percent,simd4_percent,simd5_percent
127,S02001363,5334,21437,0,0,3492,1842,0,3,0.0,0.0,0.6546681664791901,0.34533183352080987,0.0
128,S02001364,4150,193,0,0,1345,1244,1561,5,0.0,0.0,0.3240963855421687,0.29975903614457833,0.376144578313253
129,S02001365,4755,122,792,3077,886,0,0,2,0.1665615141955836,0.6471083070452156,0.18633017875920085,0.0,0.0
130,S02001366,5050,171,896,0,2598,1556,0,3,0.17742574257425742,0.0,0.5144554455445545,0.3081188118811881,0.0
131,S02001367,2780,16782,0,0,1656,1124,0,3,0.0,0.0,0.5956834532374101,0.40431654676258993,0.0
132,S02001368,6085,216,0,864,2483,1440,1298,3,0.0,0.14198849630238292,0.40805258833196384,0.23664749383730485,0.2133114215283484
133,S02001369,3675,114781,0,0,2087,1588,0,3,0.0,0.0,0.567891156462585,0.43210884353741497,0.0
134,S02001370,3844,107235,0,0,2890,954,0,3,0.0,0.0,0.7518210197710719,0.2481789802289282,0.0
135,S02001371,5830,1957,520,2039,786,2485,0,4,0.08919382504288165,0.34974271012006863,0.13481989708404804,0.4262435677530017,0.0
136,S02001372,2799,111,0,502,1386,911,0,3,0.0,0.17934976777420508,0.49517684887459806,0.32547338335119685,0.0
137,S02001373,5260,67568,0,625,2404,2231,0,3,0.0,0.1188212927756654,0.4570342205323194,0.4241444866920152,0.0
138,S02001374,2259,88943,0,0,2259,0,0,3,0.0,0.0,1.0,0.0,0.0
139,S02001375,3146,54789,0,0,1742,1404,0,3,0.0,0.0,0.5537190082644629,0.4462809917355372,0.0
140,S02001376,3825,1294,0,861,2024,940,0,3,0.0,0.22509803921568627,0.5291503267973856,0.2457516339869281,0.0
141,S02001377,2521,57514,0,0,1774,747,0,3,0.0,0.0,0.7036890122967077,0.29631098770329234,0.0
142,S02001378,3556,105016,0,784,2444,328,0,3,0.0,0.2204724409448819,0.6872890888638921,0.0922384701912261,0.0
143,S02001379,2971,61970,0,0,2971,0,0,3,0.0,0.0,1.0,0.0,0.0
144,S02001380,4932,257,1285,1468,752,1427,0,2,0.2605433901054339,0.29764801297648014,0.15247364152473641,0.2893349553933496,0.0
145,S02001381,2687,12221,0,470,1391,826,0,3,0.0,0.17491626349088202,0.5176777074804615,0.3074060290286565,0.0
146,S02001382,3811,165,1138,2673,0,0,0,2,0.29860928890055105,0.701390711099449,0.0,0.0,0.0
147,S02001383,2584,41054,0,0,2584,0,0,3,0.0,0.0,1.0,0.0,0.0
148,S02001384,3376,66618,0,714,1750,912,0,3,0.0,0.21149289099526067,0.5183649289099526,0.27014218009478674,0.0
149,S02001385,5249,288,897,1301,2517,534,0,3,0.1708896932749095,0.24785673461611735,0.4795199085540103,0.10173366355496286,0.0
150,S02001386,4711,196,1006,2088,1617,0,0,2,0.21354277223519422,0.4432180004245383,0.34323922734026746,0.0,0.0
151,S02001387,5636,7291,0,849,1529,1801,1457,4,0.0,0.150638750887154,0.271291696238467,0.3195528743789922,0.2585166784953868
152,S02001388,4342,311,0,0,0,3024,1318,4,0.0,0.0,0.0,0.696453247351451,0.3035467526485491
153,S02001389,4487,233,0,0,1156,810,2521,5,0.0,0.0,0.2576331624693559,0.18052150657454868,0.5618453309560953
154,S02001390,3153,105,787,783,0,1583,0,4,0.2496035521725341,0.2483349191246432,0.0,0.5020615287028227,0.0
155,S02001391,4155,114,1345,0,0,699,2111,5,0.3237063778580024,0.0,0.0,0.16823104693140795,0.5080625752105896
156,S02001392,3032,15699,0,0,1024,2008,0,4,0.0,0.0,0.33773087071240104,0.662269129287599,0.0
157,S02001393,4396,322,1598,0,1194,910,694,1,0.3635122838944495,0.0,0.2716105550500455,0.2070063694267516,0.15787079162875342
158,S02001394,5410,3307,1448,1519,0,2443,0,4,0.26765249537892793,0.28077634011090574,0.0,0.4515711645101664,0.0
159,S02001395,2804,85,0,0,1253,764,787,3,0.0,0.0,0.44686162624821685,0.2724679029957204,0.2806704707560628
160,S02001396,4773,163,0,2190,2029,0,554,2,0.0,0.45883092394720304,0.4250995181227739,0.0,0.11606955793002305
