DataZone,InterZone,MMWard,Council,SPConst,CHP,HBCode
S01006579,S02001248,S13002485,S12000033,S16000074,S03000012,S08000020
S01006580,S02001248,S13002485,S12000033,S16000074,S03000012,S08000020
S01006581,S02001248,S13002485,S12000033,S16000074,S03000012,S08000020
S01006582,S02001249,S13002487,S12000033,S16000074,S03000012,S08000020
S01006583,S02001249,S13002487,S12000033,S16000074,S03000012,S08000020
S01006584,S02001249,S13002482,S12000033,S16000074,S03000012,S08000020
S01006585,S02001249,S13002482,S12000033,S16000074,S03000012,S08000020
S01006586,S02001249,S13002482,S12000033,S16000074,S03000012,S08000020
S01006587,S02001250,S13002487,S12000033,S16000074,S03000012,S08000020
S01006588,S02001250,S13002483,S12000033,S16000074,S03000012,S08000020
S01006589,S02001250,S13002483,S12000033,S16000074,S03000012,S08000020
S01006590,S02001250,S13002487,S12000033,S16000074,S03000012,S08000020
S01006591,S02001251,S13002487,S12000033,S16000074,S03000012,S08000020
S01006592,S02001251,S13002487,S12000033,S16000074,S03000012,S08000020
S01006593,S02001251,S13002487,S12000033,S16000074,S03000012,S08000020
S01006594,S02001251,S13002487,S12000033,S16000074,S03000012,S08000020
S01006595,S02001251,S13002487,S12000033,S16000074,S03000012,S08000020
S01006596,S02001251,S13002487,S12000033,S16000074,S03000012,S08000020
S01006597,S02001251,S13002487,S12000033,S16000074,S03000012,S08000020
S01006598,S02001252,S13002487,S12000033,S16000074,S03000012,S08000020
S01006599,S02001252,S13002486,S12000033,S16000074,S03000012,S08000020
S01006600,S02001252,S13002487,S12000033,S16000074,S03000012,S08000020
S01006601,S02001252,S13002487,S12000033,S16000074,S03000012,S08000020
S01006602,S02001252,S13002487,S12000033,S16000074,S03000012,S08000020
S01006603,S02001253,S13002488,S12000033,S16000076,S03000012,S08000020
S01006604,S02001253,S13002488,S12000033,S16000076,S03000012,S08000020
S01006605,S02001253,S13002488,S12000033,S16000076,S03000012,S08000020
S01006606,S02001253,S13002488,S12000033,S16000076,S03000012,S08000020
S01006607,S02001253,S13002488,S12000033,S16000076,S03000012,S08000020
S01006608,S02001254,S13002488,S12000033,S16000076,S03000012,S08000020
S01006609,S02001254,S13002488,S12000033,S16000076,S03000012,S08000020
S01006610,S02001254,S13002488,S12000033,S16000076,S03000012,S08000020
S01006611,S02001254,S13002488,S12000033,S16000076,S03000012,S08000020
S01006612,S02001254,S13002488,S12000033,S16000076,S03000012,S08000020
S01006613,S02001255,S13002488,S12000033,S16000076,S03000012,S08000020
S01006614,S02001255,S13002488,S12000033,S16000076,S03000012,S08000020
S01006615,S02001255,S13002488,S12000033,S16000076,S03000012,S08000020
S01006616,S02001255,S13002488,S12000033,S16000076,S03000012,S08000020
S01006617,S02001255,S13002488,S12000033,S16000076,S03000012,S08000020
S01006618,S02001255,S13002488,S12000033,S16000076,S03000012,S08000020
S01006619,S02001256,S13002488,S12000033,S16000076,S03000012,S08000020
