,InterZone,All people,Area (hectares),Density
328,S02001564,6034,3454,1.746960046
329,S02001565,4647,5773,0.804954097
330,S02001566,3130,423,7.399527187
331,S02001567,3531,210,16.81428571
332,S02001568,6198,125,49.584
333,S02001569,2958,67,44.14925373
334,S02001570,3691,108,34.17592593
335,S02001571,4640,116,40
336,S02001572,4876,148,32.94594595
337,S02001573,3440,108,31.85185185
338,S02001574,3629,99,36.65656566
339,S02001575,4099,140,29.27857143
340,S02001576,5796,4806,1.205992509
341,S02001577,4782,811,5.896424168
342,S02001578,3050,216,14.12037037
343,S02001579,3954,118,33.50847458
344,S02001580,4295,1972,2.177991886
345,S02001581,4112,302,13.61589404
346,S02001582,3223,38,84.81578947
347,S02001583,4534,72,62.97222222
348,S02001584,3694,76,48.60526316
349,S02001585,3121,42,74.30952381
350,S02001586,3555,129,27.55813953
351,S02001587,5770,109,52.93577982
352,S02001588,4596,90,51.06666667
353,S02001589,4817,91,52.93406593
354,S02001590,4272,65,65.72307692
355,S02001591,3563,43,82.86046512
356,S02001592,5042,54,93.37037037
357,S02001593,4843,194,24.96391753
358,S02001594,4347,99,43.90909091
359,S02001595,4291,136,31.55147059
360,S02001596,3938,76,51.81578947
361,S02001597,2639,39,67.66666667
362,S02001598,5463,146,37.41780822
363,S02001599,4925,168,29.31547619
364,S02001600,2797,674,4.149851632
365,S02001601,2658,99,26.84848485
366,S02001602,5272,111,47.4954955
367,S02001603,3593,69,52.07246377
368,S02001604,4120,85,48.47058824
369,S02001605,3168,46,68.86956522
370,S02001606,3274,83,39.44578313
371,S02001607,3004,414,7.256038647
372,S02001608,4895,85,57.58823529
373,S02001609,6240,228,27.36842105
374,S02001610,3474,109,31.87155963
375,S02001611,6070,70,86.71428571
376,S02001612,5608,104,53.92307692
377,S02001613,5277,37,142.6216216
378,S02001614,5144,31,165.9354839
379,S02001615,5575,126,44.24603175
380,S02001616,5018,127,39.51181102
381,S02001617,5758,38,151.5263158
382,S02001618,4468,23,194.2608696
383,S02001619,6462,54,119.6666667
384,S02001620,6233,63,98.93650794
385,S02001621,6556,91,72.04395604
386,S02001622,5651,125,45.208
387,S02001623,5915,281,21.04982206
388,S02001624,2507,46,54.5
389,S02001625,4072,64,63.625
390,S02001626,5407,208,25.99519231
391,S02001627,3161,488,6.477459016
392,S02001628,4330,74,58.51351351
393,S02001629,3654,85,42.98823529
394,S02001630,3270,247,13.2388664
395,S02001631,5136,118,43.52542373
396,S02001632,3926,94,41.76595745
397,S02001633,3881,147,26.40136054
398,S02001634,2549,55,46.34545455
399,S02001635,3512,43,81.6744186
400,S02001636,2855,119,23.99159664
401,S02001637,3476,41,84.7804878
402,S02001638,4420,52,85
403,S02001639,4698,46,102.1304348
404,S02001640,2837,327,8.675840979
405,S02001641,5065,47,107.7659574
406,S02001642,4929,42,117.3571429
407,S02001643,5025,47,106.9148936
408,S02001644,5260,54,97.40740741
409,S02001645,3423,31,110.4193548
410,S02001646,3185,15,212.3333333
411,S02001647,5164,61,84.6557377
412,S02001648,3243,30,108.1
413,S02001649,3414,41,83.26829268
414,S02001650,3701,62,59.69354839
415,S02001651,4461,95,46.95789474
416,S02001652,3687,178,20.71348315
417,S02001653,3726,53,70.30188679
418,S02001654,4210,38,110.7894737
419,S02001655,3031,30,101.0333333
420,S02001656,3569,51,69.98039216
421,S02001657,3212,26,123.5384615
422,S02001658,5686,62,91.70967742
423,S02001659,3614,72,50.19444444
424,S02001660,6021,148,40.68243243
425,S02001661,4305,143,30.1048951
426,S02001662,4215,150,28.1
427,S02001663,4227,126,33.54761905
428,S02001664,5674,214,26.51401869
429,S02001665,4618,82,56.31707317
430,S02001666,4623,62,74.56451613
431,S02001667,5104,83,61.4939759
432,S02001668,2912,35,83.2
433,S02001669,3364,93,36.17204301
434,S02001670,3788,219,17.29680365
435,S02001671,4814,77,62.51948052
436,S02001672,4288,297,14.43771044
437,S02001673,2492,112,22.25
438,S02001674,3770,161,23.41614907
439,S02001675,5971,135,44.22962963
440,S02001676,4106,69,59.50724638
441,S02001677,4887,121,40.38842975
442,S02001678,3130,109,28.71559633
443,S02001679,5372,224,23.98214286
444,S02001680,2762,46,60.04347826
445,S02001681,4146,82,50.56097561
446,S02001682,4767,351,13.58119658
447,S02001683,3264,2413,1.352673021
448,S02001684,5092,4093,1.24407525
449,S02001685,4754,183,25.97814208
450,S02001686,4012,145,27.66896552
451,S02001687,3161,40271,0.078493209
452,S02001688,2949,44379,0.066450348
453,S02001689,1916,48606,0.039419002
454,S02001690,2583,97607,0.026463266
455,S02001691,4066,48396,0.084015208
456,S02001692,3606,21426,0.168300196
457,S02001693,3276,653,5.016845329
458,S02001694,2997,326,9.193251534
459,S02001695,3130,4283,0.730796171
460,S02001696,3266,1523,2.14445174
461,S02001697,4163,2688,1.548735119
462,S02001698,4152,95,43.70526316
463,S02001699,3016,79,38.17721519
464,S02001700,3868,1382,2.798842258
465,S02001701,4931,134,36.79850746
466,S02001702,3415,1824,1.872258772
467,S02001703,5355,945,5.666666667
468,S02001704,3913,188,20.81382979
469,S02001705,3290,109,30.18348624
470,S02001706,3537,112,31.58035714
471,S02001707,3399,98,34.68367347
472,S02001708,2759,77,35.83116883
473,S02001709,2771,64,43.296875
474,S02001710,3608,3711,0.972244678
475,S02001711,3653,112,32.61607143
476,S02001712,4268,129,33.08527132
477,S02001713,3391,105,32.2952381
478,S02001714,4761,401,11.87281796
479,S02001715,3575,144,24.82638889
480,S02001716,3483,129,27
481,S02001717,3029,81,37.39506173
482,S02001718,2857,75,38.09333333
